ensembl_gene_id;log2FoldChange;pvalue;padj;length;symbol;entrezgene;description;PR661W_Vec;PR661W_TRPM1;PR661W_TRPM1.norm.count.mean;PR661W_Vec.norm.count.mean;baseMean
ENSMUSG00000035783;0,670122432;2,75541E-16;1,35535E-13;2196;Acta2;11475;"actin, alpha 2, smooth muscle, aorta [Source:MGI Symbol;Acc:MGI:87909]";568,5020433;904,6049978;904,6049978;568,5020433;736,5535205
ENSMUSG00000064339;0,381300094;1,13719E-15;5,39396E-13;1582;mt-Rnr2;;"mitochondrially encoded 16S rRNA [Source:MGI Symbol;Acc:MGI:102492]";2087,914918;2719,5407;2719,5407;2087,914918;2403,727809
ENSMUSG00000021390;1,025675222;2,73358E-15;1,22875E-12;2566;Ogn;18295;"osteoglycin [Source:MGI Symbol;Acc:MGI:109278]";190,0984751;387,0237714;387,0237714;190,0984751;288,5611232
ENSMUSG00000024511;1,997924479;2,81174E-15;1,22875E-12;10679;Rab27b;80718;"RAB27B, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1931295]";34,13403436;136,3398521;136,3398521;34,13403436;85,23694322
ENSMUSG00000048424;-0,590823886;2,86809E-15;1,22875E-12;6855;Ranbp3l;223332;"RAN binding protein 3-like [Source:MGI Symbol;Acc:MGI:2444654]";782,6916144;519,6787626;519,6787626;782,6916144;651,1851885
ENSMUSG00000029335;-3,465115052;4,63095E-15;1,92199E-12;7398;Bmp3;110075;"bone morphogenetic protein 3 [Source:MGI Symbol;Acc:MGI:88179]";68,86586266;6,23591839;6,23591839;68,86586266;37,55089053
ENSMUSG00000005360;0,636850594;1,21873E-13;4,90484E-11;8537;Slc1a3;20512;"solute carrier family 1 (glial high affinity glutamate transporter), member 3 [Source:MGI Symbol;Acc:MGI:99917]";526,8955846;819,2862962;819,2862962;526,8955846;673,0909404
ENSMUSG00000064341;-0,174310278;2,88854E-13;1,12831E-10;957;mt-Nd1;17716;"mitochondrially encoded NADH dehydrogenase 1 [Source:MGI Symbol;Acc:MGI:101787]";4792,932526;4247,454086;4247,454086;4792,932526;4520,193306
ENSMUSG00000092274;0,465690206;6,2353E-13;2,36603E-10;20771;Neat1;66961;"nuclear paraspeckle assembly transcript 1 (non-protein coding) [Source:MGI Symbol;Acc:MGI:1914211]";1044,166687;1441,971093;1441,971093;1044,166687;1243,06889
ENSMUSG00000029657;-0,572648508;9,53951E-13;3,51929E-10;7266;Hsph1;15505;"heat shock 105kDa/110kDa protein 1 [Source:MGI Symbol;Acc:MGI:105053]";673,2355428;452,670985;452,670985;673,2355428;562,9532639
ENSMUSG00000015243;1,03230926;3,11019E-12;1,11639E-09;10363;Abca1;11303;"ATP-binding cassette, sub-family A (ABC1), member 1 [Source:MGI Symbol;Acc:MGI:99607]";145,6823848;297,9635187;297,9635187;145,6823848;221,8229518
ENSMUSG00000029231;0,767305714;5,45909E-12;1,88901E-09;10024;Pdgfra;18595;"platelet derived growth factor receptor, alpha polypeptide [Source:MGI Symbol;Acc:MGI:97530]";291,9625636;496,9460055;496,9460055;291,9625636;394,4542846
ENSMUSG00000024597;1,004462989;5,54714E-12;1,88901E-09;10920;Slc12a2;20496;"solute carrier family 12, member 2 [Source:MGI Symbol;Acc:MGI:101924]";152,1385594;305,2198601;305,2198601;152,1385594;228,6792098
ENSMUSG00000038963;-2,072687125;7,31836E-12;2,42988E-09;4799;Slco4a1;108115;"solute carrier organic anion transporter family, member 4a1 [Source:MGI Symbol;Acc:MGI:1351866]";89,19085685;21,20212253;21,20212253;89,19085685;55,19648969
ENSMUSG00000064080;0,469334652;2,21018E-11;7,15937E-09;6370;Fbln2;14115;"fibulin 2 [Source:MGI Symbol;Acc:MGI:95488]";886,5882024;1227,4555;1227,4555;886,5882024;1057,021851
ENSMUSG00000003617;-0,477545518;4,24485E-11;1,31626E-08;9566;Cp;12870;"ceruloplasmin [Source:MGI Symbol;Acc:MGI:88476]";776,2354398;557,4911041;557,4911041;776,2354398;666,8632719
ENSMUSG00000021756;0,501023006;4,26167E-11;1,31626E-08;11099;Il6st;16195;"interleukin 6 signal transducer [Source:MGI Symbol;Acc:MGI:96560]";737,1397157;1043,212457;1043,212457;737,1397157;890,1760861
ENSMUSG00000037742;-0,168450662;4,81997E-11;1,45486E-08;2493;Eef1a1;13627;"eukaryotic translation elongation factor 1 alpha 1 [Source:MGI Symbol;Acc:MGI:1096881]";4099,31221;3647,558737;3647,558737;4099,31221;3873,435474
ENSMUSG00000001119;0,575495693;1,40061E-10;4,13365E-08;4380;Col6a1;12833;"collagen, type VI, alpha 1 [Source:MGI Symbol;Acc:MGI:88459]";501,967577;748,026756;748,026756;501,967577;624,9971665
ENSMUSG00000031778;0,860141689;1,64448E-10;4,74789E-08;3930;Cx3cl1;20312;"chemokine (C-X3-C motif) ligand 1 [Source:MGI Symbol;Acc:MGI:1097153]";190,7560484;346,2635412;346,2635412;190,7560484;268,5097948
ENSMUSG00000041695;-1,542661448;3,97945E-10;1,12449E-07;5444;Kcnj2;16518;"potassium inwardly-rectifying channel, subfamily J, member 2 [Source:MGI Symbol;Acc:MGI:104744]";109,9940862;37,75565134;37,75565134;109,9940862;73,87486877
ENSMUSG00000016024;1,459503136;4,28943E-10;1,18683E-07;4831;Lbp;16803;"lipopolysaccharide binding protein [Source:MGI Symbol;Acc:MGI:1098776]";49,01910363;134,8092176;134,8092176;49,01910363;91,9141606
ENSMUSG00000022096;2,230822494;5,64339E-10;1,52959E-07;6919;Hr;15460;"hairless [Source:MGI Symbol;Acc:MGI:96223]";15,48286322;72,67679433;72,67679433;15,48286322;44,07982878
ENSMUSG00000041559;1,47727651;9,07989E-10;2,4118E-07;3306;Fmod;14264;"fibromodulin [Source:MGI Symbol;Acc:MGI:1328364]";45,73123692;127,3261155;127,3261155;45,73123692;86,52867621
ENSMUSG00000029767;0,367906206;1,12851E-09;2,93877E-07;4663;Calu;12321;"calumenin [Source:MGI Symbol;Acc:MGI:1097158]";1316,700947;1699,174381;1699,174381;1316,700947;1507,937664
ENSMUSG00000027966;1,140473808;1,69559E-09;4,33061E-07;12744;Col11a1;12814;"collagen, type XI, alpha 1 [Source:MGI Symbol;Acc:MGI:88446]";85,06607862;187,531073;187,531073;85,06607862;136,2985758
ENSMUSG00000020866;1,156763943;3,71204E-09;9,30181E-07;10137;Cacna1g;12291;"calcium channel, voltage-dependent, T type, alpha 1G subunit [Source:MGI Symbol;Acc:MGI:1201678]";78,66968339;175,3993773;175,3993773;78,66968339;127,0345303
ENSMUSG00000076258;-0,472517804;1,76026E-08;4,32925E-06;57;Gm23935;;"predicted gene, 23935 [Source:MGI Symbol;Acc:MGI:5453712]";576,5722616;415,5389255;415,5389255;576,5722616;496,0555935
ENSMUSG00000022419;1,295783284;1,90088E-08;4,59011E-06;8874;Deptor;97998;"DEP domain containing MTOR-interacting protein [Source:MGI Symbol;Acc:MGI:2146322]";53,8014552;132,0880895;132,0880895;53,8014552;92,94477237
ENSMUSG00000038521;0,717318221;3,78884E-08;8,98564E-06;3129;C1s1;50908;"complement component 1, s subcomponent 1 [Source:MGI Symbol;Acc:MGI:1355312]";218,4339081;359,1322091;359,1322091;218,4339081;288,7830586
ENSMUSG00000067274;-0,335774798;4,53509E-08;1,05668E-05;1659;Rplp0;11837;"ribosomal protein, large, P0 [Source:MGI Symbol;Acc:MGI:1927636]";954,1389183;756,0200696;756,0200696;954,1389183;855,079494
ENSMUSG00000034708;0,479394402;7,39227E-08;1,6927E-05;3474;Grn;14824;"granulin [Source:MGI Symbol;Acc:MGI:95832]";545,3674176;760,3285223;760,3285223;545,3674176;652,8479699
ENSMUSG00000043613;-1,190556345;9,13368E-08;2,05601E-05;1801;Mmp3;17392;"matrix metallopeptidase 3 [Source:MGI Symbol;Acc:MGI:97010]";117,2273929;51,36129147;51,36129147;117,2273929;84,29434221
ENSMUSG00000064351;0,168929199;1,01465E-07;2,24592E-05;1545;mt-Co1;17708;"mitochondrially encoded cytochrome c oxidase I [Source:MGI Symbol;Acc:MGI:102504]";7412,226483;8333,001055;8333,001055;7412,226483;7872,613769
ENSMUSG00000038146;0,806044902;1,44373E-07;3,14331E-05;8089;Notch3;18131;"notch 3 [Source:MGI Symbol;Acc:MGI:99460]";151,0625303;264,1194889;264,1194889;151,0625303;207,5910096
ENSMUSG00000045414;0,906631315;2,0693E-07;4,38923E-05;3950;1190002N15Rik;68861;"RIKEN cDNA 1190002N15 gene [Source:MGI Symbol;Acc:MGI:1916111]";110,8907771;207,8828431;207,8828431;110,8907771;159,3868101
ENSMUSG00000073418;2,049503739;2,08209E-07;4,38923E-05;5695;C4b;12268;"complement component 4B (Chido blood group) [Source:MGI Symbol;Acc:MGI:88228]";13,74926077;56,91692785;56,91692785;13,74926077;35,33309431
ENSMUSG00000020609;-1,393004618;2,51569E-07;5,18331E-05;13934;Apob;238055;"apolipoprotein B [Source:MGI Symbol;Acc:MGI:88052]";86,50078409;32,93698713;32,93698713;86,50078409;59,71888561
ENSMUSG00000029371;0,345308908;2,53682E-07;5,18331E-05;1863;Cxcl5;20311;"chemokine (C-X-C motif) ligand 5 [Source:MGI Symbol;Acc:MGI:1096868]";1100,538656;1398,149593;1398,149593;1100,538656;1249,344125
ENSMUSG00000028268;1,245725508;2,75107E-07;5,53591E-05;3265;Gbp3;55932;"guanylate binding protein 3 [Source:MGI Symbol;Acc:MGI:1926263]";49,67667697;117,8021674;117,8021674;49,67667697;83,73942219
ENSMUSG00000032294;-0,191032612;2,84168E-07;5,63288E-05;5001;Pkm;18746;"pyruvate kinase, muscle [Source:MGI Symbol;Acc:MGI:97591]";2066,394336;1810,117038;1810,117038;2066,394336;1938,255687
ENSMUSG00000031548;-3,334471247;3,05562E-07;5,9679E-05;4372;Sfrp1;20377;"secreted frizzled-related protein 1 [Source:MGI Symbol;Acc:MGI:892014]";30,3081531;3,004578861;3,004578861;30,3081531;16,65636598
ENSMUSG00000028780;0,35999281;4,38049E-07;8,36171E-05;7140;Sema3c;20348;"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C [Source:MGI Symbol;Acc:MGI:107557]";955,3345062;1226,094936;1226,094936;955,3345062;1090,714721
ENSMUSG00000032366;-0,340125377;4,4072E-07;8,36171E-05;6485;Tpm1;22003;"tropomyosin 1, alpha [Source:MGI Symbol;Acc:MGI:98809]";796,9191103;629,5443066;629,5443066;796,9191103;713,2317085
ENSMUSG00000032487;-0,467197308;4,54806E-07;8,50744E-05;4580;Ptgs2;19225;"prostaglandin-endoperoxide synthase 2 [Source:MGI Symbol;Acc:MGI:97798]";471,0018506;340,7079048;340,7079048;471,0018506;405,8548777
ENSMUSG00000069662;0,50252542;4,94524E-07;9,12191E-05;4048;Marcks;17118;"myristoylated alanine rich protein kinase C substrate [Source:MGI Symbol;Acc:MGI:96907]";425,6890694;603,0699985;603,0699985;425,6890694;514,379534
ENSMUSG00000002985;1,222791645;5,72616E-07;0,000103242;2138;Apoe;11816;"apolipoprotein E [Source:MGI Symbol;Acc:MGI:88057]";49,25822121;114,9676591;114,9676591;49,25822121;82,11294013
ENSMUSG00000022665;0,669467556;5,75251E-07;0,000103242;4293;Ccdc80;67896;"coiled-coil domain containing 80 [Source:MGI Symbol;Acc:MGI:1915146]";212,7548656;338,3836079;338,3836079;212,7548656;275,5692368
ENSMUSG00000054196;1,371856484;6,68453E-07;0,00011837;1593;Cthrc1;68588;"collagen triple helix repeat containing 1 [Source:MGI Symbol;Acc:MGI:1915838]";36,40565135;94,21905786;94,21905786;36,40565135;65,31235461
ENSMUSG00000021140;0,630228014;1,01004E-06;0,000176505;15613;Pcnx;54604;"pecanex homolog [Source:MGI Symbol;Acc:MGI:1891924]";234,9928004;363,7241127;363,7241127;234,9928004;299,3584566
ENSMUSG00000006205;0,520555919;1,09477E-06;0,000188827;2879;Htra1;56213;"HtrA serine peptidase 1 [Source:MGI Symbol;Acc:MGI:1929076]";367,762836;527,5586958;527,5586958;367,762836;447,6607659
ENSMUSG00000029816;0,506576662;1,83174E-06;0,000311889;6514;Gpnmb;93695;"glycoprotein (transmembrane) nmb [Source:MGI Symbol;Acc:MGI:1934765]";376,0123925;534,1914454;534,1914454;376,0123925;455,1019189
ENSMUSG00000031239;1,009781107;1,9159E-06;0,000322089;1744;Itm2a;16431;"integral membrane protein 2A [Source:MGI Symbol;Acc:MGI:107706]";71,7352736;144,446546;144,446546;71,7352736;108,0909098
ENSMUSG00000021732;-1,213477094;2,09631E-06;0,000348013;4601;Fgf10;14165;"fibroblast growth factor 10 [Source:MGI Symbol;Acc:MGI:1099809]";89,78865079;38,71938419;38,71938419;89,78865079;64,25401749
ENSMUSG00000024781;0,63606279;3,33111E-06;0,000546179;6780;Lipa;16889;"lysosomal acid lipase A [Source:MGI Symbol;Acc:MGI:96789]";207,8529553;323,0205726;323,0205726;207,8529553;265,4367639
ENSMUSG00000027797;0,825357424;3,52524E-06;0,000570959;15296;Dclk1;13175;"doublecortin-like kinase 1 [Source:MGI Symbol;Acc:MGI:1330861]";110,9505565;196,6014998;196,6014998;110,9505565;153,7760282
ENSMUSG00000029322;-1,672840271;3,9455E-06;0,000631327;1592;Plac8;231507;"placenta-specific 8 [Source:MGI Symbol;Acc:MGI:2445289]";53,50255823;16,78028949;16,78028949;53,50255823;35,14142386
ENSMUSG00000035202;-0,401962476;4,27031E-06;0,000675166;11089;Lars2;102436;"leucyl-tRNA synthetase, mitochondrial [Source:MGI Symbol;Acc:MGI:2142973]";501,7882389;379,76743;379,76743;501,7882389;440,7778344
ENSMUSG00000033022;1,342767267;4,56338E-06;0,000713015;1644;Cdo1;12583;"cysteine dioxygenase 1, cytosolic [Source:MGI Symbol;Acc:MGI:105925]";32,69932888;82,93771459;82,93771459;32,69932888;57,81852174
ENSMUSG00000028517;0,760921277;4,63128E-06;0,00071521;3159;Plpp3;67916;"phospholipid phosphatase 3 [Source:MGI Symbol;Acc:MGI:1915166]";131,5744477;222,9624275;222,9624275;131,5744477;177,2684376
ENSMUSG00000026234;-0,274628016;5,53932E-06;0,000845605;10188;Ncl;17975;"nucleolin [Source:MGI Symbol;Acc:MGI:97286]";913,3095918;754,9996466;754,9996466;913,3095918;834,1546192
ENSMUSG00000057666;-0,264179299;7,35812E-06;0,001110491;4133;Gapdh;14433|100042025;"glyceraldehyde-3-phosphate dehydrogenase [Source:MGI Symbol;Acc:MGI:95640]|glyceraldehyde-3-phosphate dehydrogenase [Source:MGI Symbol;Acc:MGI:95640]";946,5469352;788,1633944;788,1633944;946,5469352;867,3551648
ENSMUSG00000055447;0,439783775;8,20144E-06;0,001223857;6276;Cd47;16423;"CD47 antigen (Rh-related antigen, integrin-associated signal transducer) [Source:MGI Symbol;Acc:MGI:96617]";460,2415596;624,272121;624,272121;460,2415596;542,2568403
ENSMUSG00000027832;0,649642938;9,13957E-06;0,001348696;2682;Ptx3;19288;"pentraxin related gene [Source:MGI Symbol;Acc:MGI:104641]";179,9957574;282,3737227;282,3737227;179,9957574;231,18474
ENSMUSG00000025757;-0,322967274;9,9956E-06;0,001450192;11792;Hspa4l;18415;"heat shock protein 4 like [Source:MGI Symbol;Acc:MGI:107422]";663,6110602;530,5065845;530,5065845;663,6110602;597,0588224
ENSMUSG00000031673;0,516524858;1,00985E-05;0,001450192;8904;Cdh11;12552;"cadherin 11 [Source:MGI Symbol;Acc:MGI:99217]";307,4454268;439,802317;439,802317;307,4454268;373,6238719
ENSMUSG00000034687;1,096992209;1,01549E-05;0,001450192;17709;Fras1;231470;"Fraser extracellular matrix complex subunit 1 [Source:MGI Symbol;Acc:MGI:2385368]";50,27447092;107,5412471;107,5412471;50,27447092;78,90785903
ENSMUSG00000032518;-0,31996941;1,1634E-05;0,001643742;3170;Rpsa;16785;"ribosomal protein SA [Source:MGI Symbol;Acc:MGI:105381]";663,7903984;531,7537682;531,7537682;663,7903984;597,7720833
ENSMUSG00000036103;0,541914264;1,40264E-05;0,001960889;8725;Colec12;140792;"collectin sub-family member 12 [Source:MGI Symbol;Acc:MGI:2152907]";265,4802917;386,5135599;386,5135599;265,4802917;325,9969258
ENSMUSG00000015656;-0,187435902;1,43129E-05;0,001980107;4301;Hspa8;15481;"heat shock protein 8 [Source:MGI Symbol;Acc:MGI:105384]";1520,728021;1335,450268;1335,450268;1520,728021;1428,089145
ENSMUSG00000027955;1,149316939;1,7126E-05;0,002344851;9598;Fam198b;68659;"family with sequence similarity 198, member B [Source:MGI Symbol;Acc:MGI:1915909]";42,50314961;94,27574803;94,27574803;42,50314961;68,38944882
ENSMUSG00000035385;-0,40435238;1,88239E-05;0,002551017;1138;Ccl2;20296;"chemokine (C-C motif) ligand 2 [Source:MGI Symbol;Acc:MGI:98259]";430,2920828;325,1181088;325,1181088;430,2920828;377,7050958
ENSMUSG00000034459;1,028913305;1,92391E-05;0,002574538;2656;Ifit1;15957;"interferon-induced protein with tetratricopeptide repeats 1 [Source:MGI Symbol;Acc:MGI:99450]";55,17638128;112,586672;112,586672;55,17638128;83,88152665
ENSMUSG00000024659;0,352184121;1,93851E-05;0,002574538;2911;Anxa1;16952;"annexin A1 [Source:MGI Symbol;Acc:MGI:96819]";720,7003821;919,9680331;919,9680331;720,7003821;820,3342076
ENSMUSG00000020154;-1,081536617;1,97083E-05;0,002591549;13333;Ptprb;19263;"protein tyrosine phosphatase, receptor type, B [Source:MGI Symbol;Acc:MGI:97809]";86,62034288;40,93030071;40,93030071;86,62034288;63,77532179
ENSMUSG00000036256;-0,358122973;2,02586E-05;0,002637793;1209;Igfbp7;29817;"insulin-like growth factor binding protein 7 [Source:MGI Symbol;Acc:MGI:1352480]";521,5752185;406,9220201;406,9220201;521,5752185;464,2486193
ENSMUSG00000020467;0,730805158;2,12588E-05;0,002741141;2037;Efemp1;216616;"epidermal growth factor-containing fibulin-like extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:1339998]";124,8193761;207,1458709;207,1458709;124,8193761;165,9826235
ENSMUSG00000033149;0,467111083;2,3295E-05;0,002974813;7577;Phldb2;208177;"pleckstrin homology like domain, family B, member 2 [Source:MGI Symbol;Acc:MGI:2444981]";358,676368;495,8122022;495,8122022;358,676368;427,2442851
ENSMUSG00000022037;1,01759739;2,77944E-05;0,003515597;3437;Clu;12759;"clusterin [Source:MGI Symbol;Acc:MGI:88423]";54,51880794;110,3757555;110,3757555;54,51880794;82,44728172
ENSMUSG00000039713;1,058880578;2,91273E-05;0,003649433;4945;Plekhg5;269608;"pleckstrin homology domain containing, family G (with RhoGef domain) member 5 [Source:MGI Symbol;Acc:MGI:2652860]";49,19844181;102,4958223;102,4958223;49,19844181;75,84713204
ENSMUSG00000035566;-0,727835206;2,95755E-05;0,003670949;12991;Pcdh17;219228;"protocadherin 17 [Source:MGI Symbol;Acc:MGI:2684924]";155,6655437;93,99229719;93,99229719;155,6655437;124,8289205
ENSMUSG00000070327;0,54378584;2,98547E-05;0,003671294;16888;Rnf213;672511;"ring finger protein 213 [Source:MGI Symbol;Acc:MGI:1289196]";243,2423569;354,5969957;354,5969957;243,2423569;298,9196763
ENSMUSG00000021835;1,029887172;3,55426E-05;0,00433065;2248;Bmp4;12159;"bone morphogenetic protein 4 [Source:MGI Symbol;Acc:MGI:88180]";51,52983821;105,2169503;105,2169503;51,52983821;78,37339425
ENSMUSG00000020473;0,315496978;3,66943E-05;0,004430333;4058;Aebp1;11568;"AE binding protein 1 [Source:MGI Symbol;Acc:MGI:1197012]";880,0722483;1095,19734;1095,19734;880,0722483;987,6347941
ENSMUSG00000022860;2,672037749;3,7547E-05;0,004444884;5491;Chodl;246048;"chondrolectin [Source:MGI Symbol;Acc:MGI:2179069]";4,064998838;25,9074064;25,9074064;4,064998838;14,98620262
ENSMUSG00000022231;-0,582677869;3,77398E-05;0,004444884;18686;Sema5a;20356;"sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A [Source:MGI Symbol;Acc:MGI:107556]";218,1947905;145,6937297;145,6937297;218,1947905;181,9442601
ENSMUSG00000002900;0,400052292;3,78188E-05;0,004444884;9917;Lamb1;16777;"laminin B1 [Source:MGI Symbol;Acc:MGI:96743]";492,9408885;650,4629783;650,4629783;492,9408885;571,7019334
ENSMUSG00000020044;0,442050584;4,71491E-05;0,005466705;8144;Timp3;21859;"tissue inhibitor of metalloproteinase 3 [Source:MGI Symbol;Acc:MGI:98754]";378,5231271;514,2365065;514,2365065;378,5231271;446,3798168
ENSMUSG00000056758;-1,012677581;4,73361E-05;0,005466705;6772;Hmga2;15364;"high mobility group AT-hook 2 [Source:MGI Symbol;Acc:MGI:101761]";87,15835743;43,19790739;43,19790739;87,15835743;65,17813241
ENSMUSG00000032399;-0,314094041;4,99526E-05;0,005719143;2007;Rpl4;67891;"ribosomal protein L4 [Source:MGI Symbol;Acc:MGI:1915141]";585,5391708;470,981909;470,981909;585,5391708;528,2605399
ENSMUSG00000024074;-0,411050189;5,97377E-05;0,006780996;5995;Crim1;50766;"cysteine rich transmembrane BMP regulator 1 (chordin like) [Source:MGI Symbol;Acc:MGI:1354756]";368,5997475;277,2149175;277,2149175;368,5997475;322,9073325
ENSMUSG00000040260;-0,977785792;6,08352E-05;0,006847052;9769;Daam2;76441;"dishevelled associated activator of morphogenesis 2 [Source:MGI Symbol;Acc:MGI:1923691]";89,42997443;45,40882391;45,40882391;89,42997443;67,41939917
ENSMUSG00000001870;-0,267712636;6,21588E-05;0,006937239;10691;Ltbp1;268977;"latent transforming growth factor beta binding protein 1 [Source:MGI Symbol;Acc:MGI:109151]";739,4113327;614,1812713;614,1812713;739,4113327;676,796302
